lon,lat,dist,ir,opt
89.4155,-5.7119,15.048,0.3002,0.2237
165.2186,4.6547,18.674,0.6487,0.3705
187.7216,-8.6308,16.942,0.4601,0.3187
193.7995,-4.6229,18.627,0.5648,0.2385
153.9365,-1.1491,19.479,0.8337,0.2023
159.811,-9.5617,15.305,0.2997,0.1658
180.9472,-8.8765,16.476,0.4754,0.2846
93.6852,-6.8102,16.112,0.2931,0.2571
111.5305,-5.0009,16.169,0.4204,0.416
192.7994,-2.8623,18.581,0.7072,0.235
343.0134,-3.4651,10.459,0.2922,0.183
199.2136,0.0626,18.934,0.8285,0.2221
64.5312,3.879,13.305,0.2958,0.2265
263.6644,0.2987,14.657,0.4257,0.2306
86.9533,-2.9146,14.702,0.3805,0.1211
140.7718,-5.3159,21.071,0.422,0.1814
200.4762,-1.6845,19.021,0.8246,0.2891
61.8098,0.0023,13.265,0.2801,0.2592
73.5539,0.1561,13.707,0.3508,0.3353
201.8442,2.5685,19.122,0.6604,0.2142
174.6341,-3.3274,18.353,0.8816,0.4628
195.0339,9.3613,15.63,0.302,0.216
135.1688,6.0763,20.111,0.3896,0.3566
358.9856,1.1812,10.215,0.3089,0.1473
79.2401,-2.9896,14.937,0.3511,0.2058
167.1259,4.4548,18.585,0.6644,0.3789
278.2114,0.9684,14.602,0.2904,0.2147
223.3706,4.8451,18.337,0.4166,0.1463
227.6609,-6.8705,17.687,0.3597,0.2059
257.903,-4.5811,14.861,0.2772,0.1598
112.9777,-5.17,16.918,0.3805,0.4352
237.4239,5.9248,16.935,0.3689,0.2775
229.0947,-3.5098,18.364,0.5288,0.2708
78.7376,1.9061,14.824,0.3112,0.4277
132.605,-1.3531,20.57,0.7206,0.1662
89.6431,1.534,15.238,0.3719,0.2923
148.0289,-7.3984,19.744,0.343,0.1266
112.6001,3.0868,16.636,0.3719,0.1193
224.5475,5.2461,18.037,0.4077,0.2077
123.0859,0.5535,18.717,0.6126,0.1899
213.537,-8.933,16.373,0.3311,0.2374
242.9231,3.5506,16.314,0.4743,0.2576
180.1294,3.8177,18.305,0.8385,0.5608
233.51,-4.4942,17.699,0.4426,0.2071
228.9385,1.986,18.322,0.6135,0.2225
253.8501,-0.8966,16.361,0.6311,0.4488
192.9366,-0.2301,18.587,0.8858,0.0567
55.3288,1.4521,12.932,0.2793,0.2632
213.4225,-2.9015,20.274,0.6532,0.2523
82.5717,-0.6179,15.103,0.4027,0.3567
117.4514,-4.0123,17.374,0.4698,0.3911
127.9151,3.4799,20.006,0.4277,0.358
174.4337,-3.9516,18.357,0.854,0.4479
209.0517,0.1102,19.774,0.8376,0.2536
224.6395,-4.5272,17.986,0.4978,0.2021
165.0353,4.5001,18.684,0.6484,0.3631
133.7282,-6.0967,19.815,0.3795,0.228
266.9909,-0.1486,14.588,0.4662,0.1578
